050,Airport Law Enforcement - North,"259,131.73"
051,Airport Law Enforcement - South,"35,604.87"
055,District Law Enforcement,"17,405.25"
057,District Law Enforcement,"33,551.61"
059,Marine Unit,"37,438.31"
060,Helicopter Unit,"7,159.03"
079,Special Investigations Unit,"84,241.02"
102,Detached Services - Misc. Detail,"8,844.43"
111,Office of the Superintendent,"7,293.28"
114,Office of the Superintendent,"5,006.96"
115,District Law Enforcement,"15,648.99"
116,Deployment Operations Center,"49,932.53"
120,Narcotics Division,"7,266.05"
121,Detective Div. - Area 1,"90,537.10"
122,Finance Division,"5,161.23"
123,Human Resources Division,"94,803.73"
124,Education & Training Division,"149,433.94"
125,Public Safety Information Technology (PSIT),"20,630.12"
126,Inspection Division,"7,128.59"
127,Gang Team Area 1,"17,987.93"
128,District Law Enforcement,"2,817.98"
130,District Law Enforcement,"3,507.99"
131,District Law Enforcement,337.64
133,District Law Enforcement,"15,456.36"
134,District Law Enforcement,"2,577.07"
135,District Law Enforcement,"3,605.51"
136,District Law Enforcement,"4,351.08"
140,Office of the First Deputy Superintendent,"6,896.18"
142,District Law Enforcement,"10,311.94"
143,District Law Enforcement,"6,154.14"
145,Traffic Administration Unit,"87,735.20"
153,Special Functions Support,"62,218.01"
,,
February,GRAND TOTAL:,"11,120,415.12"
161,Airport Law Enforcement - South,"4,462.17"
163,District Law Enforcement,"1,395.46"
166,Juvenile Intervention Support Center(JISC),"21,298.95"
167,Evidence and Recovered Property Section,"1,206.29"
169,District Law Enforcement,"1,330.88"
171,District Law Enforcement,"61,034.22"
172,District Law Enforcement,"1,615.74"
177,Forensic Services Division,"58,032.16"
180,Bureau Of Detectives - Administration,"39,988.11"
181,Detective Div. - Area 3,"67,154.76"
184,Detective Div. - Area 2,"7,919.71"
187,Central Homicide - Eval and Support Unit,"25,150.25"
188,District Law Enforcement,993.20
189,Narcotics Division,"971,058.34"
191,Intelligence Division,"188,191.24"
192,Gang Team Area 3,"73,468.73"
